Wavelength	Smoothed_1	Smoothed_2	Smoothed_3	Smoothed_4	Smoothed_5	Smoothed_6	Smoothed_7	Smoothed_8	Smoothed_9	Smoothed_10	Smoothed_11	Smoothed_12	Smoothed_13	Smoothed_14	Smoothed_15	Smoothed_16	Smoothed_17	Smoothed_18	Smoothed_19	Smoothed_20	Smoothed_21	Smoothed_22	Smoothed_23	Smoothed_24	Smoothed_25	Smoothed_26	Smoothed_27	Smoothed_28	Smoothed_29	Smoothed_30
490.000000	317.350117	325.555245	307.713287	310.433800	307.208858	310.889977	308.690210	323.520979	315.447786	295.689744	320.451515	304.017716	304.975524	298.323543	304.831935	291.030769	289.416550	308.593007	303.753613	317.527972	298.272261	296.928205	290.248718	289.727972	299.474126	290.756876	294.231702	300.931235	300.038228	292.030070
491.000000	343.638462	334.821678	327.635664	332.858275	328.787179	330.784149	327.967599	338.720746	336.364103	320.120280	339.393939	328.370629	321.953613	325.137296	319.093706	319.586713	309.678322	323.999068	315.372028	333.019347	320.895804	318.373427	309.812821	311.544755	318.931002	306.977389	316.052448	317.745688	312.584615	312.942191
492.000000	370.345921	350.719814	351.350350	354.734965	349.047319	352.729604	352.334033	359.305828	358.748485	342.992075	359.974825	352.856643	343.730070	350.798601	334.715851	352.217949	329.938228	345.093473	330.009324	350.532168	343.979487	337.125175	332.257576	333.423077	344.977156	322.078089	335.972727	334.258974	325.914685	333.680886
493.000000	396.229837	375.208625	376.240793	377.718648	374.891841	378.923543	375.533566	378.696970	381.548718	367.664103	386.441026	382.644289	370.068765	382.705361	360.636131	383.307925	356.472494	361.608625	353.963636	373.096503	363.054545	357.411189	356.224242	357.942657	366.791375	341.373193	355.077156	358.305128	346.869464	353.379487
494.000000	420.185781	399.524942	402.718415	399.512821	411.148718	402.728904	403.499534	393.984615	410.359441	390.341725	411.995338	406.899534	396.265967	408.178788	386.847786	406.448019	387.038928	383.786713	379.265734	395.088345	386.238695	386.665268	382.309790	381.188112	390.561072	369.491375	373.867366	385.279021	365.130070	374.975991
495.000000	445.813986	426.408392	429.122611	423.514685	437.629604	425.057343	432.574825	416.485315	437.633800	418.331935	434.894639	430.136597	415.808159	431.356643	417.028904	427.965268	411.268765	410.680420	405.820047	418.829138	407.113753	417.456410	409.937063	405.596737	413.871096	394.138695	394.322145	409.470163	385.043590	401.874126
496.000000	471.096270	460.334033	451.607459	451.715152	461.895338	449.465268	461.907692	440.928205	465.806760	445.292541	458.270862	458.029371	439.942191	449.546620	446.787646	454.586946	438.237296	442.053846	431.158275	441.504429	427.450350	439.188112	434.111189	426.516084	437.765734	417.804662	423.659907	431.430303	409.035198	431.004429
497.000000	497.638462	492.685082	471.124476	476.393240	485.189744	477.474825	486.746154	468.366900	493.581585	479.244755	484.429837	480.556643	467.223310	470.277389	474.337762	480.655245	464.801632	473.668065	462.319347	466.855012	452.416783	462.036131	460.708858	454.896737	460.745455	446.529371	445.323077	458.207459	434.920746	453.215851
498.000000	525.748718	524.281585	499.109557	506.402564	508.833800	506.818182	514.323543	497.754545	523.281585	508.741725	519.106294	504.266667	501.715385	488.976690	502.751515	507.504662	497.090909	507.328671	491.700466	494.558974	475.696503	479.747319	487.322378	479.150117	483.021678	477.895105	471.224242	486.135198	459.549184	476.062704
499.000000	553.385082	556.020979	530.134499	531.533800	531.157809	535.304429	539.789044	532.377855	549.214918	538.776224	540.654779	530.524709	533.846853	506.859907	531.793240	528.429371	530.749650	535.135198	520.389977	520.273427	501.375524	508.579953	509.255478	504.145455	505.963170	503.409790	501.135198	512.903030	487.572028	499.469464
